id,lemma,word,def,date,like,dislike,hit,pop
0,잠수,잠수,1. 오랜기간 공공의 영역에 모습을 드러내지 않다.,7/23/15,4,2,100,22.5
1,약빤다,약빤다,미친 폼새를 취하다,1/23/77,2,4,1231,12.2
2,느금마,느금마,당신의 어머니,1/13/07,2000,1,22,44.1
3,아다,아다,아직 성경험이 없는 숫처녀 혹은 숫총각,10/31/14,232,44,5151,67.5309
4,고추,고추,남자,11/11/15,7434,3242,23523,67.45
5,답정너,답정너,답은 정해져있으니 너는 대답만 하라.,3/06/15,3452,67,456,435.643
6,칼답,칼답,즉시 하는 답변,11/11/05,12,2323,66,0.331
7,창렬,창렬,보상이 비용에 비해 터무니 없이 적은 경우,7/27/12,67,43,23,23.2
8,씹압살,씹압살,압살의 강한 표현,11/10/25,56,34,56,78.6
9,머가리,머가리,대가리,9/10/25,1156,1232,12312,34.3
10,뇌섹스남,뇌섹스남,뇌가 섹시한 남자,5/10/15,231,1212,2342,123.2
11,솔까,솔까,솔직히 까놓고 말하여,7/23/15,4,2,100,22.5
12,좆밥,좆밥,좆에 낀 찌꺼기를 칭하는 말로 하찮은 존재를 칭하는 derogative,1/23/77,2,4,1231,12.2
13,네다-,네다-,"네, 다음 -. 상대의 성분을 짐작하고 같은 성분의 다른 상대를 기대하겠다. 다시말해, 당신의 성분은 탄로났다. ex)네다김태희",1/13/07,2000,1,22,44.1
14,ㅂㅂㅂㄱ,ㅂㅂㅂㄱ,반박불가. 반박이 가능하지 않다,10/31/14,232,44,5151,67.5309
15,-줌마,-줌마,"아줌마에서 파생한 말로, 어떤 대상의 지지자, 팬을 뜻함 ex)엑소줌마",11/11/15,7434,3242,23523,67.45
16,꿀잼,꿀잼,많이 재미있다,3/06/15,3452,67,456,435.643
17,빼애액,빼애액,소리지름을 표현하는 상태 표현,11/11/05,12,2323,66,0.331
18,어그로,어그로,욕이나 공분을 사는 행위,7/27/12,67,43,23,23.2
19,씹도,씹도,무한도전을 낮춰부르는 말,11/10/25,56,34,56,78.6
20,김치녀,김치녀,한국 여자를 낮춰 부르는 말,9/10/25,1156,1232,12312,34.3
21,자살각,자살각,자살을 해야 하는 조건,5/10/15,231,1212,2342,123.2
22,로각좁,로각좁,누군가가 해당자일 확률이 높아지다,7/23/15,4,2,100,22.5
23,씹치,씹치,한국 남자를 낮춰 부르는 말.,1/23/77,2,4,1231,12.2
24,보빨러,보빨러,비합리적인 방식으로 여자의 환심을 사는 행위를 하는 자,1/13/07,2000,1,22,44.1
25,윾쾌,윾쾌,유쾌,10/31/14,232,44,5151,67.5309
26,입갤,입갤,디씨인사이드 갤러리에 들어오다.,11/11/15,7434,3242,23523,67.45
27,엠창,엠창,어머니가 창녀. 맹세할 때 사용되는 어구.,3/06/15,3452,67,456,435.643
28,좆목,좆목,친목을 낮춰부르는 말,11/11/05,12,2323,66,0.331
29,드립,드립,애드립,7/27/12,67,43,23,23.2
30,로리,로리,어린 아이,11/10/25,56,34,56,78.6
31,니마,니마,님아,9/10/25,1156,1232,12312,34.3
32,눈팅,눈팅,눈으로 채팅하다,5/10/15,231,1212,2342,123.2
